City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
203,Neiafu,TO,-18.65,-173.98,77.0,88,75,9.17,broken clouds
204,Karasburg,NA,-28.02,18.75,61.68,27,0,9.84,clear sky
205,Coquimbo,CL,-29.95,-71.34,53.6,87,8,6.93,clear sky
206,Sao Joao Da Barra,BR,-21.64,-41.05,70.84,88,99,13.78,light rain
207,Champerico,GT,14.3,-91.92,77.0,94,75,4.7,broken clouds
208,Fortaleza,BR,-3.72,-38.52,80.6,83,40,6.93,scattered clouds
209,Batagay-Alyta,RU,67.8,130.41,0.97,92,99,0.94,overcast clouds
210,Hasaki,JP,35.73,140.83,63.0,63,20,8.05,few clouds
211,Bonavista,CA,48.65,-53.11,30.99,68,90,9.17,overcast clouds
212,Long Xuyen,VN,10.38,105.42,80.6,88,40,1.12,scattered clouds
213,Ancud,CL,-41.87,-73.82,57.2,71,0,2.24,clear sky
214,Severo-Yeniseyskiy,RU,60.37,93.04,10.78,95,100,5.84,overcast clouds
215,Leshukonskoye,RU,64.9,45.76,29.01,97,27,4.47,scattered clouds
216,Gamba,GA,-2.65,10.0,76.39,91,100,4.27,light rain
217,El Paujil,CO,1.57,-75.33,73.81,94,100,2.48,light rain
218,Srednekolymsk,RU,67.45,153.68,7.65,94,100,3.83,light snow
219,Trincomalee,LK,8.57,81.23,78.42,78,75,7.54,broken clouds
220,Henties Bay,NA,-22.12,14.28,55.0,93,56,5.01,broken clouds
221,Tallahassee,US,30.44,-84.28,69.8,77,1,8.05,clear sky
222,Kantang,TH,7.41,99.52,77.0,94,75,2.24,broken clouds
223,Puerto Colombia,CO,10.99,-74.95,82.18,78,99,7.27,moderate rain
224,Charters Towers,AU,-20.1,146.27,88.09,31,0,4.54,clear sky
225,Bengkulu,ID,-3.8,102.27,79.41,79,100,3.0,overcast clouds
226,Manoel Urbano,BR,-8.84,-69.26,68.7,97,100,2.37,overcast clouds
227,Khorramshahr,IR,30.44,48.17,62.6,48,0,2.24,clear sky
228,Awbari,LY,26.59,12.78,59.65,54,0,7.45,clear sky
229,Burgeo,CA,47.62,-57.62,33.31,88,53,18.84,broken clouds
230,Jumla,NP,29.27,82.18,46.4,54,0,5.39,clear sky
231,Bambous Virieux,MU,-20.34,57.76,68.0,72,40,9.17,shower rain
232,Vardo,NO,70.37,31.11,39.0,88,100,15.66,overcast clouds
233,Filadelfia,US,39.95,-75.16,44.6,52,20,3.36,few clouds
234,Tual,ID,-5.67,132.75,84.0,75,87,14.14,overcast clouds
235,Santa Cruz De Tenerife,ES,28.47,-16.25,72.0,26,0,6.93,clear sky
236,Karera,IN,25.47,78.15,64.31,27,0,5.03,clear sky
237,Cuamba,MZ,-14.8,36.54,69.37,76,18,1.54,few clouds
238,Vila Velha,BR,-20.33,-40.29,69.8,88,90,8.05,overcast clouds
239,Lensk,RU,60.73,114.93,-1.35,89,3,1.23,clear sky
240,Bitburg,DE,49.97,6.53,54.0,100,90,8.05,overcast clouds
241,Aragats,AM,40.49,44.35,46.4,70,20,3.69,few clouds
242,Peto,MX,20.13,-88.92,73.87,98,100,4.65,moderate rain
243,Coihaique,CL,-45.58,-72.07,66.2,39,0,2.66,clear sky
244,Oltu,TR,40.55,42.0,50.99,46,51,4.14,broken clouds
245,Necochea,AR,-38.55,-58.74,53.01,74,0,5.01,clear sky
246,Fortuna,US,40.6,-124.16,50.0,100,90,6.93,overcast clouds
247,Narsaq,GL,60.92,-46.05,26.6,79,88,1.36,light snow
248,Valdivia,CL,-39.81,-73.25,66.2,72,0,3.36,clear sky
249,Sam Roi Yot,TH,12.27,99.87,78.8,88,40,5.82,moderate rain
250,Kamenka,RU,51.32,42.77,49.6,73,100,12.1,overcast clouds
251,Bam,IR,29.11,58.36,53.64,40,0,4.21,clear sky
252,Preobrazheniye,RU,42.9,133.91,55.09,77,45,9.19,scattered clouds
253,Tarakan,ID,3.3,117.63,79.38,82,100,6.08,moderate rain
254,Nanortalik,GL,60.14,-45.24,28.74,90,42,22.59,scattered clouds
255,Takoradi,GH,4.88,-1.76,78.17,87,25,4.52,scattered clouds
256,Verkhoshizhemye,RU,58.01,49.1,29.23,96,0,6.46,clear sky
257,Vallenar,CL,-28.57,-70.76,59.05,49,0,2.01,clear sky
